continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Asia,Kingdom of Bhutan,953002,null,null,3,3,0,0,0,2020-03-30 07:44:19
South America,Suriname,973010,-56.027783,3.919305,8,8,0,0,0,2020-03-30 07:44:19
Asia,Bangladesh,953001,90.356331,23.684994,32,48,0,11,5,2020-03-30 07:44:19
Asia,Laos,952006,102.495496,19.85627,6,6,0,0,0,2020-03-30 07:44:19
Africa,Republic of Rwanda,985006,null,null,60,60,0,0,0,2020-03-30 07:44:19
North America,,974005,null,null,11,11,0,0,0,2020-03-30 07:44:19
Oceania,Fiji,990002,179.414413,-16.578193,5,5,0,0,0,2020-03-30 07:44:19
North America,,0,null,null,5,5,0,0,0,2020-03-30 07:44:19
North America,,0,null,null,6,7,0,0,1,2020-03-30 07:44:19
Africa,,0,null,null,19,19,0,0,0,2020-03-30 07:44:19
North America,Martinique,0,-61.024174,14.641528,92,93,0,0,1,2020-03-30 07:44:19
Africa,,982017,null,null,3,5,0,1,1,2020-03-30 07:44:19
Europe,Belarus,964001,27.953389,53.709807,72,94,0,22,0,2020-03-30 07:44:19
Africa,Gabon,983004,11.609444,-0.803689,6,7,0,0,1,2020-03-30 07:44:19
North America,,0,null,null,2,2,0,0,0,2020-03-30 07:44:19
North America,Barbados,974003,-59.543198,13.193887,24,24,0,0,0,2020-03-30 07:44:19
Africa,Swaziland,984010,31.465866,-26.522503,9,9,0,0,0,2020-03-30 07:44:19
Asia,Nepal,953005,84.124008,28.394857,4,5,0,1,0,2020-03-30 07:44:19
Africa,,982008,null,null,2,2,0,0,0,2020-03-29 12:59:27
North America,Saint Vincent and the Grenadines,974012,-61.287228,12.984305,1,1,0,0,0,2020-03-28 18:50:31
North America,St.Lucia,974011,null,null,3,3,0,0,0,2020-03-28 18:50:31
Africa,Seychelles,985007,55.491977,-4.679574,7,7,0,0,0,2020-03-28 18:50:31
South America,Guyana,973007,-58.93018,4.860416,4,5,0,0,1,2020-03-28 18:50:31
North America,,0,null,null,17,17,0,0,0,2020-03-28 18:50:31
Asia,,952004,null,null,1,1,0,0,0,2020-03-28 18:50:31
Africa,Liberia,982009,-9.429499,6.428055,3,3,0,0,0,2020-03-28 18:50:31
Oceania,Papua New Cuinea,990009,null,null,1,1,0,0,0,2020-03-28 18:50:31
Europe,,0,null,null,30,31,0,0,1,2020-03-24 17:09:41
North America,Saint Barthelemy,0,null,null,3,3,0,0,0,2020-03-18 12:11:15
Africa,Reunion Island,0,null,null,6,6,0,0,0,2020-03-17 13:58:30
Others,Grand Princess,0,null,null,21,21,0,0,0,2020-03-09 12:10:01
Europe,United Kingdom of Great Britain and Ireland,0,null,null,12,20,0,8,0,2020-02-29 15:11:12
Europe,United Kingdom,0,-3.435973,55.378051,12,20,0,8,0,2020-02-29 13:08:48
Europe,Northern Ireland,0,null,null,1,1,0,0,0,2020-02-28 12:33:48
