continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Africa,Nigeria,982013,8.675277,9.081999,128,139,0,9,2,2020-04-01 12:36:17
North America,,0,null,null,10,10,0,0,0,2020-04-01 12:36:17
Europe,Moldova,964005,28.369885,47.411631,327,353,0,22,4,2020-04-01 12:36:17
Africa,Kenya,985005,37.906193,-0.023559,57,59,0,1,1,2020-04-01 12:36:17
Oceania,Guam,0,144.793731,13.444304,57,58,0,0,1,2020-04-01 12:36:17
North America,El Salvador,972003,-88.89653,13.794185,30,30,0,0,0,2020-04-01 12:36:17
Africa,Sierra Leone,982015,-11.779889,8.460555,1,1,0,0,0,2020-04-01 12:36:17
Europe,Latvia,964003,24.603189,56.879635,398,398,0,0,0,2020-04-01 12:36:17
Europe,Spain,965015,-3.74922,40.463667,71519,94417,0,14709,8189,2020-04-01 12:36:17
Africa,Sudan,981005,30.217636,12.862807,5,7,0,0,2,2020-04-01 12:36:17
North America,Honduras,972005,-86.241905,15.199999,136,139,0,0,3,2020-04-01 12:36:17
North America,Dominican Republic,974006,-70.162651,18.735693,859,901,0,0,42,2020-04-01 12:36:17
Europe,Poland,963006,19.145136,51.919438,2265,2311,0,13,33,2020-04-01 12:36:17
South America,Uruguay,973011,-55.765835,-32.522779,296,338,0,41,1,2020-04-01 12:36:17
Asia,Azerbaijan,955003,47.576927,40.143105,267,298,0,26,5,2020-04-01 12:36:17
Africa,Somali,985008,null,null,5,5,0,0,0,2020-04-01 12:36:17
Europe,Albania,965001,20.168331,41.153332,218,243,0,10,15,2020-04-01 12:36:17
Africa,,0,null,null,36,36,0,0,0,2020-04-01 12:36:17
Asia,Qatar,955015,51.183884,25.354826,717,781,0,62,2,2020-04-01 12:36:17
Africa,Guinea,0,-9.696645,9.945587,21,22,0,1,0,2020-04-01 12:36:17
Africa,The Republic of Equatorial Guinea,0,null,null,14,15,0,1,0,2020-04-01 12:36:17
Europe,Slovakia,963007,19.699024,48.669026,359,363,0,3,1,2020-04-01 12:36:17
North America,,0,null,null,22,22,0,0,0,2020-04-01 12:36:17
South America,Brazil,973003,-51.92528,-14.235004,5516,5717,0,0,201,2020-04-01 12:36:17
Europe,Switzerland,963008,8.227512,46.818188,13980,16176,0,1823,373,2020-04-01 12:36:17
Africa,Gambia,982005,-15.310139,13.443182,3,4,0,0,1,2020-04-01 12:36:17
Africa,Madagascar,984005,46.869107,-18.766947,57,57,0,0,0,2020-04-01 12:36:17
Europe,Liechtenstein,963005,9.555373,47.166,64,64,0,0,0,2020-04-01 12:36:17
Europe,Monaco,961005,7.412841,43.750298,50,52,0,1,1,2020-04-01 12:36:17
Africa,Ghana,982006,-1.023194,7.946527,153,161,0,3,5,2020-04-01 12:36:17
Africa,Egypt,981002,30.802498,26.820553,514,710,0,150,46,2020-04-01 12:36:17
North America,Puerto Rico,0,-66.590149,18.220833,168,174,0,0,6,2020-04-01 12:36:17
