continent,country,locationId,longitude,latitude,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
Africa,Chad,982003,18.732207,15.454166,34,34,0,0,0,2020-04-25 07:19:54
Africa,Kenya,985005,37.906193,-0.023559,228,336,0,94,14,2020-04-25 07:19:54
Europe,Latvia,964003,24.603189,56.879635,639,784,0,133,12,2020-04-25 07:19:54
Europe,Spain,965015,-3.74922,40.463667,104885,219764,0,92355,22524,2020-04-25 07:19:54
North America,Honduras,972005,-86.241905,15.199999,472,519,0,0,47,2020-04-25 07:19:54
South America,Uruguay,973011,-55.765835,-32.522779,191,557,0,354,12,2020-04-25 07:19:54
Europe,Slovakia,963007,19.699024,48.669026,988,1360,0,355,17,2020-04-25 07:19:54
Asia,Mongolia,0,103.846656,46.862496,30,36,0,6,0,2020-04-25 07:19:54
North America,Saint Vincent and the Grenadines,974012,-61.287228,12.984305,13,13,0,0,0,2020-04-25 07:19:54
Asia,Oman,955013,55.923255,21.512583,1456,1790,0,325,9,2020-04-25 07:19:54
Asia,Saudi Arabia,955016,45.079162,23.885942,12926,15102,0,2049,127,2020-04-25 07:19:54
Oceania,New Zealand,990007,174.885971,-40.900557,2,1114,4,1095,17,2020-04-25 07:19:54
Europe,Belgium,961001,4.469936,50.503887,27492,44293,0,10122,6679,2020-04-25 07:19:54
North America,Nicaragua,972006,-85.207229,12.865416,8,10,0,0,2,2020-04-25 07:19:54
Africa,Senegal,982014,-14.452362,14.497401,277,545,0,262,6,2020-04-25 07:19:54
Africa,Mozambique,984008,35.529562,-18.665695,38,46,0,8,0,2020-04-25 07:19:54
Africa,Zimbabwe,984013,29.154857,-19.015438,23,29,0,2,4,2020-04-25 07:19:54
North America,Haiti,974008,-72.285215,18.971187,58,62,0,0,4,2020-04-25 07:19:54
Asia,Cyprus,955005,33.429859,35.126413,787,804,0,0,17,2020-04-25 07:19:54
Oceania,Fiji,990002,179.414413,-16.578193,18,18,0,0,0,2020-04-23 21:19:14
Asia,Laos,952006,102.495496,19.85627,19,19,0,0,0,2020-04-23 21:19:14
Africa,Namibia,984009,18.49041,-22.95764,13,16,0,3,0,2020-04-23 21:19:14
Africa,Seychelles,985007,55.491977,-4.679574,11,11,0,0,0,2020-04-23 21:19:14
Asia,Syria,955017,38.996815,34.802075,33,42,0,6,3,2020-04-23 21:19:14
Africa,Gambia,982005,-15.310139,13.443182,7,10,0,2,1,2020-04-23 21:19:14
Europe,Liechtenstein,963005,9.555373,47.166,81,82,0,0,1,2020-04-23 21:19:14
Europe,Monaco,961005,7.412841,43.750298,92,98,0,3,3,2020-04-23 21:19:14
North America,Belize,972001,-88.49765,17.189877,16,18,0,0,2,2020-04-23 21:19:14
Europe,United Kingdom,0,-3.435973,55.378051,12,20,0,8,0,2020-02-29 13:08:48
Africa,Morocco,981004,-7.09262,31.791702,578,638,0,24,36,2020-04-01 17:49:47
Asia,Bahrain,955004,50.637772,25.930414,268,567,0,295,4,2020-04-01 17:49:47
Europe,Russia,964006,105.318756,61.52401,2563,2777,0,190,24,2020-04-01 17:49:47
Asia,Turkey,955018,35.243322,38.963745,13074,13531,0,243,214,2020-04-01 17:49:47
Asia,Indonesia,952005,113.921327,-0.789275,1456,1677,0,64,157,2020-04-01 17:49:47
Africa,Algeria,981001,1.659626,28.033886,626,716,0,46,44,2020-04-01 17:49:47
Europe,Denmark,962001,9.501785,56.26392,2769,2860,0,1,90,2020-04-01 17:49:47
North America,Martinique,0,-61.024174,14.641528,109,111,0,0,2,2020-04-01 17:49:47
Asia,Malaysia,952007,101.975766,4.210484,2218,2908,0,645,45,2020-04-01 17:49:47
Europe,Sweden,962005,18.643501,60.128161,3865,4028,0,17,146,2020-04-01 17:49:47
Europe,Estonia,964002,25.013607,58.595272,721,745,0,20,4,2020-04-01 17:49:47
Asia,Armenia,955002,45.038189,40.069099,538,571,0,30,3,2020-04-01 17:49:47
Asia,Georgia,955006,43.356892,42.315407,93,115,0,22,0,2020-04-01 17:49:47
Asia,India,953003,78.96288,20.593684,1466,1637,0,133,38,2020-04-01 17:49:47
Europe,Germany,963003,10.451526,51.165691,58153,67366,0,8481,732,2020-04-01 17:49:47
Europe,Lithuania,964004,23.881275,55.169438,524,533,0,1,8,2020-04-01 17:49:47
Asia,Saudi Arabia,955016,45.079162,23.885942,1388,1563,0,165,10,2020-04-01 17:49:47
Europe,Belgium,961001,4.469936,50.503887,11004,13964,0,2132,828,2020-04-01 17:49:47
Africa,Ethiopia,985004,40.489673,9.145,27,29,0,2,0,2020-04-01 17:31:36
Europe,Romania,965011,24.96676,45.943161,1956,2245,0,220,69,2020-04-01 17:00:14
Africa,Niger,982011,8.081666,17.607789,31,34,0,0,3,2020-04-01 17:00:14
Europe,Luxembourg,961004,6.129583,49.815273,2155,2178,0,0,23,2020-04-01 17:00:14
Asia,Philippines,952008,121.774017,12.879721,2165,2311,0,50,96,2020-04-01 17:00:14
Asia,Japan,951002,138.252924,36.204824,1747,2217,0,404,66,2020-04-01 17:00:14
Asia,Brunei,952002,114.727669,4.535277,83,129,0,45,1,2020-04-01 16:45:03
Asia,Afghanistan,955001,67.709953,33.93911,191,196,0,0,5,2020-04-01 16:45:03
